Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
29,29,1969-12-20,24-144,KEN,,NYA,W (+9),,,18,26,.692,0,0,,3,3,1.000,,,22,,,4,39,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
30,30,1969-12-21,24-145,KEN,@,NYA,W (+2),,,5,,,0,,,5,5,1.000,,,,,,,15,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
31,31,1969-12-23,24-147,KEN,@,PTP,L (-5),,,6,16,.375,0,0,,0,1,.000,,,13,,,5,12,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
32,32,1969-12-25,24-149,KEN,,LAS,L (-4),,,8,18,.444,0,0,,6,11,.545,,,16,,,5,22,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
33,33,1969-12-26,24-150,KEN,,CAR,W (+12),1,,7,18,.389,1,1,1.000,4,5,.800,,,9,6,,,19,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
34,34,1969-12-30,24-154,KEN,,WSA,W (+12),,,7,11,.636,0,0,,1,1,1.000,,,8,,,5,15,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
35,35,1969-12-31,24-155,KEN,@,INA,L (-12),1,18:00,5,12,.417,0,0,,0,0,,,,6,0,,6,10,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
36,36,1970-01-02,24-157,KEN,@,PTP,W (+2),,,15,29,.517,0,0,,5,5,1.000,,,22,,,4,35,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
37,37,1970-01-03,24-158,KEN,,NOB,W (+12),,,9,17,.529,1,1,1.000,0,0,,,,13,,,2,19,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
38,38,1970-01-08,24-163,KEN,,INA,L (-13),,45:00,11,24,.458,0,0,,3,7,.429,,,16,3,,4,25,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
