Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
64,64,1978-03-10,32-113,WSB,@,HOU,W (+3),1,48:00,8,19,.421,2,2,1.000,,,16,1,1,2,,5,18,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
65,65,1978-03-11,32-114,WSB,@,SAS,L (-15),1,42:00,8,19,.421,4,5,.800,,,13,3,1,2,,4,20,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
66,66,1978-03-14,32-117,WSB,,SEA,W (+5),1,44:00,7,16,.438,4,5,.800,2,8,10,1,,,,4,18,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
67,67,1978-03-16,32-119,WSB,@,CHI,L (-4),1,35:00,7,13,.538,4,4,1.000,0,8,8,1,0,1,2,6,18,11.1,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
68,68,1978-03-17,32-120,WSB,,IND,L (-6),1,48:00,4,15,.267,8,11,.727,,,17,5,0,3,,5,16,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
69,69,1978-03-19,32-122,WSB,,MIL,L (-11),1,43:00,13,27,.481,6,6,1.000,,,13,1,5,2,,4,32,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
70,70,1978-03-21,32-124,WSB,,BOS,W (+12),1,46:00,14,20,.700,6,7,.857,,,9,5,,,,2,34,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
71,71,1978-03-22,32-125,WSB,@,NOJ,W (+15),1,48:00,8,20,.400,2,2,1.000,,,16,1,,,,3,18,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
72,72,1978-03-24,32-127,WSB,@,NJN,W (+3),1,35:00,3,14,.214,5,7,.714,,,16,0,,,,3,11,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
73,73,1978-03-25,32-128,WSB,,ATL,W (+3),1,43:00,4,11,.364,7,12,.583,,,15,3,,,,5,15,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
74,74,1978-03-26,32-129,WSB,,NJN,L (-14),1,40:00,11,18,.611,3,10,.300,,,12,1,,,,4,25,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
75,75,1978-03-29,32-132,WSB,,KCK,L (-3),1,45:00,7,20,.350,3,4,.750,,,21,3,2,0,,3,17,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
76,76,1978-03-30,32-133,WSB,@,NYK,W (+15),1,39:00,7,18,.389,2,3,.667,,,22,2,,,,3,16,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
77,77,1978-03-31,32-134,WSB,,CLE,L (-1),1,42:00,11,21,.524,4,6,.667,4,8,12,1,3,3,1,5,26,22.9,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
78,78,1978-04-05,32-139,WSB,,LAL,W (+6),1,37:00,10,22,.455,3,4,.750,,,17,1,,,,3,23,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
79,79,1978-04-06,32-140,WSB,@,BOS,W (+9),1,42:00,9,19,.474,3,7,.429,,,9,0,,,,3,21,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
80,80,1978-04-08,32-142,WSB,@,PHI,L (-17),1,35:00,3,13,.231,6,13,.462,,,9,3,,,,5,12,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
81,81,1978-04-09,32-143,WSB,,PHI,W (+10),1,39:00,10,18,.556,6,9,.667,,,10,4,,0,,4,26,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
