Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
66,66,1978-03-12,26-099,CLE,@,IND,W (+5),0,12:00,1,1,1.000,0,2,.000,2,2,4,0,0,1,0,0,2,3.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
67,67,1978-03-14,26-101,CLE,,HOU,W (+21),0,23:00,1,2,.500,1,2,.500,1,10,11,0,1,0,1,4,3,3.7,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
68,68,1978-03-16,26-103,CLE,,BOS,W (+10),0,26:00,2,6,.333,0,0,,1,5,6,1,0,3,1,2,4,3.8,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
69,69,1978-03-19,26-106,CLE,,PHO,L (-11),0,20:00,3,5,.600,1,2,.500,3,3,6,0,3,0,0,2,7,9.5,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
70,70,1978-03-20,26-107,CLE,,IND,L (-23),0,10:00,3,5,.600,1,3,.333,3,1,4,0,1,2,0,2,7,7.9,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
71,71,1978-03-26,26-113,CLE,,CHI,W (+17),0,17:00,0,2,.000,0,0,,1,2,3,1,1,2,1,2,0,1.2,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
72,72,1978-03-27,26-114,CLE,,GSW,W (+10),0,4:00,1,1,1.000,0,0,,0,0,0,0,1,1,0,1,2,3.0,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
73,73,1978-03-28,26-115,CLE,,SEA,W (+12),0,9:00,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.2,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
74,74,1978-03-30,26-117,CLE,,SAS,L (-4),0,9:00,2,3,.667,0,0,,2,2,4,0,1,0,0,0,4,5.7,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
75,75,1978-03-31,26-118,CLE,@,WSB,W (+1),0,5:00,0,1,.000,0,0,,1,0,1,0,0,0,1,2,0,-1.8,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
76,76,1978-04-01,26-119,CLE,,DET,W (+14),0,20:00,3,5,.600,0,0,,3,3,6,1,0,2,3,3,6,4.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
77,77,1978-04-04,26-122,CLE,,BUF,W (+11),0,19:00,1,3,.333,0,0,,0,0,0,1,1,0,1,1,2,0.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
78,78,1978-04-06,26-124,CLE,,MIL,W (+12),0,3:00,1,1,1.000,0,0,,1,0,1,1,0,0,0,2,2,2.3,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
79,79,1978-04-07,26-125,CLE,@,ATL,W (+2),0,4:00,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
80,80,1978-04-09,26-127,CLE,@,KCK,W (+3),0,2:00,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
