Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
66,66,1977-03-20,34-026,PHO,,POR,W (+20),0,15:00,2,4,.500,5,5,1.000,0,1,1,1,0,0,3,9,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
67,67,1977-03-24,34-030,PHO,,BUF,L (-5),0,10:00,0,2,.000,0,0,,0,1,1,0,1,0,0,0,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
68,68,1977-03-25,34-031,PHO,@,LAL,L (-25),0,20:00,6,12,.500,5,5,1.000,0,0,0,0,1,0,2,17,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
69,69,1977-03-26,34-032,PHO,,LAL,L (-7),0,15:00,3,6,.500,3,3,1.000,,,2,1,,,1,9,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
70,70,1977-03-27,34-033,PHO,@,SEA,W (+21),0,25:00,2,4,.500,3,4,.750,0,2,2,2,0,0,1,7,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
71,71,1977-03-29,34-035,PHO,@,MIL,W (+12),0,17:00,3,7,.429,2,2,1.000,2,1,3,1,1,0,1,8,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
72,72,1977-03-30,34-036,PHO,@,NOJ,L (-12),0,22:00,5,9,.556,6,8,.750,0,0,0,2,1,0,0,16,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
73,73,1977-04-01,34-038,PHO,,DET,W (+17),0,12:00,1,3,.333,0,0,,1,0,1,0,0,0,0,2,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
74,74,1977-04-03,34-040,PHO,,DEN,L (-15),0,20:00,3,6,.500,5,5,1.000,0,0,0,5,0,0,1,11,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
75,75,1977-04-05,34-042,PHO,,ATL,W (+6),0,11:00,1,3,.333,1,2,.500,0,0,0,0,0,0,1,3,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
76,76,1977-04-07,34-044,PHO,,KCK,W (+11),0,15:00,3,4,.750,0,0,,0,1,1,1,0,0,1,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
77,77,1977-04-08,34-045,PHO,@,POR,L (-11),0,9:00,1,2,.500,2,2,1.000,1,1,2,1,0,0,0,4,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
78,78,1977-04-10,34-047,PHO,,NYN,W (+24),0,25:00,7,10,.700,4,4,1.000,0,4,4,3,0,0,0,18,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
