Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
21,21,1968-02-17,23-025,DNR,,KEN,W (+10),,,4,9,.444,0,1,.000,2,2,1.000,,,4,,,3,10,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
22,22,1968-02-18,23-026,DNR,@,PTP,L (-11),0,,7,13,.538,0,,,1,3,.333,,,1,,,5,15,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
23,23,1968-02-20,23-028,DNR,@,MNM,L (-2),,,7,,,0,,,1,3,.333,,,,,,,15,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
24,24,1968-02-21,23-029,DNR,@,INA,L (-13),,,4,,,0,,,6,9,.667,,,,,,,14,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
25,25,1968-02-23,23-031,DNR,@,NOB,W (+6),,,10,,,0,,,5,5,1.000,,,,,,,25,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
26,26,1968-02-24,23-032,DNR,,NJA,W (+2),,,1,7,.143,0,,,0,0,,,,2,,,3,2,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
27,27,1968-02-26,23-034,DNR,,HSM,W (+23),,,6,,,0,,,1,2,.500,,,,,,,13,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
28,28,1968-03-03,23-040,DNR,@,OAK,W (+20),,,9,,,0,,,1,1,1.000,,,,,,,19,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
29,29,1968-03-04,23-041,DNR,,DLC,W (+10),,,10,,,0,,,3,6,.500,,,,,,,23,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
30,30,1968-03-06,23-043,DNR,,MNM,W (+2),,,7,,,0,,,1,1,1.000,,,,,,,15,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
31,31,1968-03-09,23-046,DNR,@,KEN,L (-5),,,1,3,.333,0,0,,1,1,1.000,,,1,,,2,3,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
32,32,1968-03-11,23-048,DNR,,DLC,W (+14),,,3,,,0,,,6,9,.667,,,,,,,12,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
33,33,1968-03-12,23-049,DNR,,OAK,W (+20),,,6,,,2,,,5,7,.714,,,,,,,19,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
34,34,1968-03-13,23-050,DNR,@,NJA,L (-9),,,1,,,0,,,2,5,.400,,,,,,,4,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
35,35,1968-03-15,23-052,DNR,@,MNM,L (-11),,,2,,,0,,,3,3,1.000,,,,,,,7,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
36,36,1968-03-16,23-053,DNR,@,DLC,L (-12),,,1,,,0,,,3,3,1.000,,,,,,,5,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
37,37,1968-03-18,23-055,DNR,,NOB,W (+7),,,10,,,0,,,4,7,.571,,,,,,,24,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
38,38,1968-03-22,23-059,DNR,,DLC,W (+18),,,6,,,0,,,1,2,.500,,,,,,,13,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
