Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,session,player,gamelog_url
11,11,1971-11-06,26-100,NYA,@,KEN,L (-5),1,,5,7,.714,0,0,,1,5,.200,,,6,,,,4,11,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
12,12,1971-11-09,26-103,NYA,@,DLC,L (-4),0,,0,1,.000,0,0,,0,0,,,,0,,,,1,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
13,13,1971-11-10,26-104,NYA,@,UTS,L (-17),0,12:00,2,5,.400,0,,,0,0,,,,2,2,,2,,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
14,14,1971-11-12,26-106,NYA,,VIR,L (-4),,,5,,,0,,,0,0,,,,,,,,,10,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
15,15,1971-11-13,26-107,NYA,@,FLO,W (+4),0,,5,12,.417,0,,,0,0,,,,10,,,,,10,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
16,16,1971-11-14,26-108,NYA,@,PTC,W (+5),,,2,,,0,,,1,1,1.000,,,,,,,,5,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
17,17,1971-11-17,26-111,NYA,,PTC,L (-1),,,4,,,0,,,5,5,1.000,,,,,,,,13,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
18,18,1971-11-19,26-113,NYA,@,CAR,W (+2),1,15:00,6,9,.667,0,0,,2,3,.667,,,5,0,,,,14,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
19,19,1971-11-24,26-118,NYA,@,INA,L (-11),1,29:00,5,9,.556,0,0,,2,3,.667,,,8,1,,,2,12,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
20,20,1971-11-25,26-119,NYA,@,KEN,L (-16),0,,9,10,.900,0,0,,1,1,1.000,,,9,,,,5,19,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
21,21,1971-11-26,26-120,NYA,,DLC,L (-5),,,1,,,0,,,0,0,,,,,,,,,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
22,22,1971-11-28,26-122,NYA,,KEN,L (-2),0,,1,4,.250,0,0,,0,0,,,,5,,,,2,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
23,23,1971-12-03,26-127,NYA,,CAR,W (+12),,,1,,,0,,,3,4,.750,,,,,,,,5,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
24,24,1971-12-04,26-128,NYA,@,VIR,L (-2),,,3,,,0,,,4,5,.800,,,,,,,,10,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
25,25,1971-12-07,26-131,NYA,,INA,L (-5),0,6:00,2,4,.500,0,0,,0,0,,,,3,0,,,4,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
26,26,1971-12-09,26-133,NYA,@,VIR,L (-1),,,4,,,0,,,0,2,.000,,,,,,,,8,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
27,27,1971-12-10,26-134,NYA,,MMP,W (+2),0,27:00,3,,,0,,,2,3,.667,,,10,,,,2,8,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
28,28,1971-12-11,26-135,NYA,@,UTS,L (-27),,,3,,,0,,,1,2,.500,,,,,,,,7,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
29,29,1971-12-14,26-138,NYA,@,DNR,L (-1),,,0,,,0,,,0,0,,,,,,,,,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
30,30,1971-12-17,26-141,NYA,,DLC,W (+7),,,0,,,0,,,0,0,,,,,,,,,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
31,31,1971-12-18,26-142,NYA,@,CAR,W (+12),0,19:00,6,10,.600,0,0,,0,0,,,,6,0,,,,12,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
32,32,1971-12-22,26-146,NYA,,KEN,L (-4),1,5:00,2,2,1.000,0,0,,0,0,,,,1,0,,0,1,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
33,33,1971-12-23,26-147,NYA,,PTC,L (-1),,,1,,,0,,,0,0,,,,,,,,,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
34,34,1971-12-26,26-150,NYA,@,CAR,L (-6),0,8:00,2,4,.500,0,0,,3,6,.500,,,3,0,,,,7,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
35,35,1971-12-27,26-151,NYA,@,FLO,W (+2),0,,1,4,.250,0,,,2,2,1.000,,,5,,,,2,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
36,36,1971-12-29,26-153,NYA,,PTC,W (+3),,,4,,,0,,,1,2,.500,,,,,,,,9,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
37,37,1971-12-31,26-155,NYA,@,INA,L (-4),0,13:00,0,4,.000,0,0,,0,0,,,,4,0,,,2,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
38,38,1972-01-02,26-157,NYA,@,KEN,L (-32),0,17:00,3,4,.750,0,0,,0,0,,,,2,0,,0,3,6,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
39,39,1972-01-05,26-160,NYA,,CAR,W (+9),1,43:00,8,19,.421,0,0,,0,0,,,,16,0,,,,16,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
40,40,1972-01-07,26-162,NYA,,DNR,L (-3),,,7,,,0,,,3,3,1.000,,,,,,,,17,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
41,41,1972-01-08,26-163,NYA,@,CAR,L (-3),1,38:00,7,12,.583,0,0,,4,5,.800,,,15,2,,,,18,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
42,42,1972-01-09,26-164,NYA,@,DLC,W (+8),1,,9,13,.692,0,,,1,2,.500,,,10,,,,4,19,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
43,43,1972-01-11,26-166,NYA,,UTS,W (+6),1,26:00,3,5,.600,0,,,1,3,.333,,,12,2,,2,,7,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
44,44,1972-01-13,26-168,NYA,,FLO,W (+16),,,4,,,0,,,0,0,,,,,,,,,8,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
45,45,1972-01-14,26-169,NYA,@,VIR,L (-10),,,2,,,0,,,7,9,.778,,,,,,,,11,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
46,46,1972-01-15,26-170,NYA,,CAR,W (+11),,,8,,,0,,,1,2,.500,,,,,,,,17,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
47,47,1972-01-16,26-171,NYA,@,MMP,L (-6),,,7,,,0,,,5,7,.714,,,,,,,,19,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
48,48,1972-01-18,26-173,NYA,,FLO,W (+21),,,1,,,0,,,0,1,.000,,,,,,,,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
49,49,1972-01-20,26-175,NYA,,CAR,W (+2),1,16:00,5,7,.714,0,0,,0,0,,,,7,1,,,,10,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
50,50,1972-01-23,26-178,NYA,@,FLO,W (+11),,,9,,,0,,,0,0,,,,,,,,,18,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
51,51,1972-01-25,26-180,NYA,@,PTC,L (-7),,,2,,,0,,,0,0,,,,,,,,,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
52,52,1972-01-26,26-181,NYA,,KEN,W (+13),0,25:00,4,9,.444,0,0,,3,3,1.000,,,8,0,,7,5,11,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
53,53,1972-01-27,26-182,NYA,@,VIR,W (+2),,,1,,,0,,,2,2,1.000,,,,,,,,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
54,54,1972-02-01,26-187,NYA,,VIR,L (-12),,,2,,,0,,,0,0,,,,,,,,,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
55,55,1972-02-03,26-189,NYA,,FLO,W (+2),,,2,,,0,,,2,2,1.000,,,,,,,,6,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
56,56,1972-02-05,26-191,NYA,,VIR,L (-9),,,9,,,0,,,3,3,1.000,,,,,,,,21,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
57,57,1972-02-06,26-192,NYA,@,KEN,L (-12),1,26:00,6,14,.429,0,0,,0,0,,,,11,2,,1,3,12,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
58,58,1972-02-11,26-197,NYA,,PTC,W (+8),,,0,,,0,,,0,0,,,,,,,,,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
59,59,1972-02-13,26-199,NYA,@,DLC,L (-6),0,,2,7,.286,0,0,,3,3,1.000,,,8,,,,2,7,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
60,60,1972-02-16,26-202,NYA,,UTS,L (-5),0,7:00,0,2,.000,0,,,0,0,,,,3,0,,2,,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
61,61,1972-02-18,26-204,NYA,,FLO,L (-21),,,6,,,0,,,1,1,1.000,,,,,,,,13,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
62,62,1972-02-20,26-206,NYA,@,FLO,L (-6),,,0,,,0,,,0,0,,,,,,,,,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
63,63,1972-02-26,26-212,NYA,@,VIR,L (-2),,,2,,,0,,,1,1,1.000,,,,,,,,5,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
64,64,1972-03-01,26-216,NYA,,VIR,W (+3),,,0,,,0,,,1,1,1.000,,,,,,,,1,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
65,65,1972-03-04,26-219,NYA,,PTC,W (+10),,,0,,,0,,,2,3,.667,,,,,,,,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
66,66,1972-03-05,26-220,NYA,@,CAR,W (+18),0,22:00,5,9,.556,0,0,,2,3,.667,,,9,1,,,,12,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
67,67,1972-03-07,26-222,NYA,,KEN,L (-5),0,3:00,0,0,,0,0,,0,0,,,,0,0,,0,0,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
68,68,1972-03-09,26-224,NYA,,VIR,W (+14),,,3,,,0,,,1,1,1.000,,,,,,,,7,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
69,69,1972-03-11,26-226,NYA,,DNR,W (+18),,,1,,,0,,,1,1,1.000,,,,,,,,3,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
70,70,1972-03-12,26-227,NYA,@,PTC,W (+9),,,1,,,0,,,0,0,,,,,,,,,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
71,71,1972-03-15,26-230,NYA,,MMP,W (+7),,,1,,,0,,,0,0,,,,,,,,,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
72,72,1972-03-17,26-232,NYA,,CAR,W (+20),,,3,,,1,,,3,3,1.000,,,,,,,,10,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
73,73,1972-03-18,26-233,NYA,,KEN,W (+1),0,14:00,2,5,.400,0,0,,0,0,,,,2,0,,0,1,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
74,74,1972-03-19,26-234,NYA,@,INA,W (+4),0,5:00,0,2,.000,0,0,,0,0,,,,0,1,,,0,0,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
75,75,1972-03-22,26-237,NYA,,CAR,L (-4),0,12:00,2,4,.500,0,1,.000,0,1,.000,,,3,0,,,,4,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
76,76,1972-03-25,26-240,NYA,@,UTS,L (-12),,,1,,,0,,,0,0,,,,,,,,,2,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
77,77,1972-03-26,26-241,NYA,@,DNR,L (-17),,,3,,,0,,,1,1,1.000,,,,,,,,7,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
