Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
17,17,1978-11-16,28-351,CLE,,NYK,L (-4),1,41:00,9,17,.529,1,2,.500,5,3,8,4,0,0,1,2,19,15.7,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
18,18,1978-11-18,28-353,CLE,,BOS,L (-2),1,38:00,6,18,.333,0,1,.000,1,2,3,0,0,0,4,5,12,-3.3,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
19,19,1978-11-21,28-356,CLE,,PHO,L (-2),1,42:00,7,15,.467,3,4,.750,3,6,9,1,2,2,3,4,17,12.3,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
20,20,1978-11-24,28-359,CLE,@,IND,W (+6),1,39:00,8,23,.348,1,1,1.000,2,9,11,1,0,1,1,4,17,7.0,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
21,21,1978-11-28,28-363,CLE,,ATL,W (+14),1,43:00,8,17,.471,4,4,1.000,0,9,9,1,1,3,4,5,20,11.8,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
22,22,1978-11-30,29-000,CLE,,POR,L (-1),1,39:00,6,14,.429,7,7,1.000,0,7,7,5,2,0,6,2,19,12.4,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
23,23,1978-12-02,29-002,CLE,,MIL,L (-6),1,38:00,8,17,.471,3,3,1.000,4,4,8,5,1,2,3,2,19,16.4,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
24,24,1978-12-05,29-005,CLE,@,WSB,L (-15),1,36:00,6,18,.333,4,5,.800,5,3,8,3,1,0,3,4,16,8.3,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
25,25,1978-12-07,29-007,CLE,@,DET,L (-16),1,26:00,3,9,.333,0,1,.000,0,1,1,1,0,1,2,5,6,-1.8,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
26,26,1978-12-09,29-009,CLE,,PHI,W (+8),1,38:00,7,14,.500,3,3,1.000,2,4,6,3,2,2,2,2,17,15.3,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
27,27,1978-12-12,29-012,CLE,,DET,W (+17),1,31:00,2,11,.182,1,2,.500,3,7,10,2,0,2,4,3,5,-0.5,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
28,28,1978-12-15,29-015,CLE,@,MIL,W (+4),1,31:00,7,9,.778,1,1,1.000,2,3,5,2,0,1,1,5,15,12.9,1979,choneji01,https://www.basketball-reference.com/players/c/choneji01/gamelog/1979
