Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
56,56,1979-02-07,24-116,NYK,@,NOJ,L (-2),1,19:00,4,9,.444,0,0,,,,2,5,,,,4,8,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
57,57,1979-02-10,24-119,NYK,,BOS,L (-4),1,35:00,8,15,.533,2,2,1.000,0,1,1,8,1,0,3,5,18,12.6,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
58,58,1979-02-11,24-120,NYK,@,BOS,L (-5),1,31:00,7,14,.500,1,4,.250,2,1,3,9,2,0,4,5,15,10.8,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
59,59,1979-02-14,24-123,NYK,@,IND,L (-9),1,36:00,9,24,.375,0,0,,,,6,3,5,0,,3,18,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
60,60,1979-02-16,24-125,NYK,@,CHI,L (-3),1,32:00,10,20,.500,1,2,.500,0,2,2,3,1,0,5,5,21,7.3,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
61,61,1979-02-17,24-126,NYK,,CLE,L (-10),1,28:00,3,13,.231,5,7,.714,0,3,3,7,4,1,1,3,11,10.6,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
62,62,1979-02-20,24-129,NYK,,PHO,L (-10),0,28:00,7,15,.467,2,4,.500,0,2,2,7,4,0,5,3,16,10.8,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
63,63,1979-02-24,24-133,NYK,,NJN,W (+4),0,11:00,1,4,.250,1,1,1.000,,,1,3,,,,0,3,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
64,64,1979-02-27,24-136,NYK,,GSW,W (+2),0,14:00,2,7,.286,0,0,,0,2,2,1,0,1,2,0,4,-0.1,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
65,65,1979-02-28,24-137,NYK,@,SAS,L (-23),0,23:00,8,12,.667,0,0,,,,2,0,2,0,6,3,16,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
66,66,1979-03-03,24-140,NYK,,SDC,W (+3),0,29:00,8,13,.615,3,4,.750,,,7,7,2,0,3,3,19,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
