Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
26,26,1977-12-09,28-356,NJN,,KCK,W (+8),1,31:00,5,6,.833,3,4,.750,,,5,3,1,2,,5,13,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
27,27,1977-12-11,28-358,NJN,@,WSB,W (+11),1,36:00,3,10,.300,2,2,1.000,,,19,1,,,,5,8,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
28,28,1977-12-13,28-360,NJN,@,BOS,L (-14),1,23:00,0,6,.000,2,2,1.000,,,7,1,,,,6,2,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
29,29,1977-12-14,28-361,NJN,,GSW,W (+4),1,35:00,2,9,.222,4,6,.667,6,8,14,1,1,3,7,2,8,4.3,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
30,30,1977-12-16,28-363,NJN,,CLE,W (+10),1,33:00,1,8,.125,2,3,.667,5,4,9,3,0,2,1,4,4,4.0,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
31,31,1977-12-21,29-003,NJN,,HOU,L (-10),1,30:00,3,5,.600,2,5,.400,,,12,1,2,4,,5,8,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
32,32,1977-12-22,29-004,NJN,@,NOJ,L (-21),1,23:00,3,9,.333,2,2,1.000,,,9,0,,,,2,8,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
33,33,1977-12-23,29-005,NJN,,BUF,W (+1),1,26:00,1,3,.333,0,0,,,,8,2,,,,6,2,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
34,34,1977-12-29,29-011,NJN,,NYK,L (-8),1,40:00,9,16,.563,3,4,.750,,,16,1,,8,,2,21,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
35,35,1978-01-04,29-017,NJN,,PHO,W (+32),1,26:00,2,8,.250,0,0,,3,10,13,2,2,5,3,0,4,8.2,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
36,36,1978-01-05,29-018,NJN,@,CLE,L (-16),1,26:00,2,5,.400,0,0,,1,6,7,2,2,0,2,3,4,4.0,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
37,37,1978-01-06,29-019,NJN,,SAS,L (-5),1,33:00,11,17,.647,2,4,.500,,,14,2,0,2,5,5,24,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
38,38,1978-01-08,29-021,NJN,,WSB,L (-1),1,40:00,7,14,.500,0,0,,,,13,1,,,,5,14,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
39,39,1978-01-11,29-024,NJN,,GSW,L (-11),1,31:00,2,7,.286,0,0,,0,6,6,2,0,4,2,5,4,1.9,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
