Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
35,35,1972-12-14,27-138,SDA,@,INA,L (-7),1,36:00,6,15,.400,0,1,.000,2,3,.667,,,13,1,,,,3,14,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
36,36,1972-12-16,27-140,SDA,@,CAR,L (-2),1,33:00,4,10,.400,0,0,,2,3,.667,,,12,0,,,,,10,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
37,37,1972-12-17,27-141,SDA,,DNR,W (+9),,,4,,,0,,,3,4,.750,,,,,,,,,11,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
38,38,1972-12-19,27-143,SDA,,CAR,L (-5),,,1,,,0,,,3,3,1.000,,,,,,,,,5,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
39,39,1972-12-22,27-146,SDA,@,CAR,L (-19),0,16:00,3,4,.750,0,0,,0,1,.000,,,4,0,,,,,6,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
40,40,1972-12-23,27-147,SDA,@,KEN,L (-11),1,29:00,8,11,.727,0,0,,2,2,1.000,,,17,1,,,3,6,18,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
41,41,1972-12-26,27-150,SDA,,DNR,L (-2),,,5,,,0,,,4,5,.800,,,,,,,,,14,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
42,42,1972-12-27,27-151,SDA,,MMT,W (+4),,,8,,,0,,,5,6,.833,,,,,,,,,21,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
43,43,1972-12-29,27-153,SDA,,NYA,L (-10),,,5,,,0,,,3,3,1.000,,,,,,,,,13,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
44,44,1972-12-30,27-154,SDA,,UTS,L (-22),1,24:00,4,7,.571,0,,,4,6,.667,,,8,2,,,1,,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
