Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Kevin Garnett*,1996,2016,F-C,6-11,240,"May 19, 1976",,https://www.basketball-reference.com/players/g/garneke01.html
Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara,https://www.basketball-reference.com/players/g/garnema01.html
Billy Garrett,2019,2019,G,6-6,213,"October 16, 1994",DePaul,https://www.basketball-reference.com/players/g/garrebi01.html
Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts",https://www.basketball-reference.com/players/g/garreca01.html
Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966",Indiana,https://www.basketball-reference.com/players/g/garrede01.html
Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State,https://www.basketball-reference.com/players/g/garredi02.html
Dick Garrett,1970,1974,G,6-3,185,"January 31, 1947",Southern Illinois,https://www.basketball-reference.com/players/g/garredi01.html
Marcus Garrett,2022,2022,G,6-5,205,"November 9, 1998",Kansas,https://www.basketball-reference.com/players/g/garrema01.html
Rowland Garrett,1973,1977,F,6-6,210,"July 16, 1950",Florida State,https://www.basketball-reference.com/players/g/garrero01.html
Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966",Rhode Island,https://www.basketball-reference.com/players/g/garrito01.html
John Garris,1984,1984,F,6-8,205,"June 6, 1959","Michigan, Boston College",https://www.basketball-reference.com/players/g/garrijo01.html
Kiwane Lemorris Garris,1998,2000,G,6-2,183,"September 24, 1974",Illinois,https://www.basketball-reference.com/players/g/garriki01.html
Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",Notre Dame,https://www.basketball-reference.com/players/g/garripa01.html
Usman Garuba,2022,2023,F,6-8,220,"March 9, 2002",,https://www.basketball-reference.com/players/g/garubus01.html
Jim Garvin,1974,1974,F,6-7,200,"February 5, 1950",Boston University,https://www.basketball-reference.com/players/g/garviji01.html
Luka Garza,2022,2023,F-C,6-11,235,"December 27, 1998",Iowa,https://www.basketball-reference.com/players/g/garzalu01.html
Marc Gasol,2009,2021,C,6-11,255,"January 29, 1985",,https://www.basketball-reference.com/players/g/gasolma01.html
Pau Gasol,2002,2019,C-F,7-0,250,"July 6, 1980",,https://www.basketball-reference.com/players/g/gasolpa01.html
Frank Gates,1950,1950,G,6-0,160,"April 12, 1920",Sam Houston State University,https://www.basketball-reference.com/players/g/gatesfr01.html
Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion,https://www.basketball-reference.com/players/g/gatlich01.html
Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion,https://www.basketball-reference.com/players/g/gattike01.html
Rudy Gay,2007,2023,F,6-8,250,"August 17, 1986",UConn,https://www.basketball-reference.com/players/g/gayru01.html
Ed Gayda,1951,1951,G-F,6-4,210,"May 16, 1927",Washington State,https://www.basketball-reference.com/players/g/gaydaed01.html
Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall,https://www.basketball-reference.com/players/g/gazean01.html
Michael Gbinije,2017,2017,G,6-7,200,"June 5, 1992","Duke, Syracuse",https://www.basketball-reference.com/players/g/gbinimi01.html
Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973",Arizona,https://www.basketball-reference.com/players/g/gearyre01.html
Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",Alabama,https://www.basketball-reference.com/players/g/geeal01.html
Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969","Auburn, Georgia Tech",https://www.basketball-reference.com/players/g/geigema01.html
Mickaël Gelabale,2007,2013,F,6-7,215,"May 22, 1983",,https://www.basketball-reference.com/players/g/gelabmi01.html
Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College,https://www.basketball-reference.com/players/g/georgde01.html
Jack George,1954,1961,G,6-2,190,"November 13, 1928",La Salle,https://www.basketball-reference.com/players/g/georgja01.html
Paul George,2011,2023,F,6-8,220,"May 2, 1990",Fresno State,https://www.basketball-reference.com/players/g/georgpa01.html
Tate George,1991,1995,G,6-5,190,"May 29, 1968",UConn,https://www.basketball-reference.com/players/g/georgta01.html
Marcus Georges-Hunt,2017,2018,G,6-5,216,"March 28, 1994",Georgia Tech,https://www.basketball-reference.com/players/g/georgma01.html
Gus Gerard,1975,1981,F-G,6-8,200,"July 27, 1953",Virginia,https://www.basketball-reference.com/players/g/gerargu01.html
Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",Texas-San Antonio,https://www.basketball-reference.com/players/g/gervide01.html
George Gervin*,1973,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan,https://www.basketball-reference.com/players/g/gervige01.html
Gorham Getchell,1947,1947,C,6-4,205,"August 14, 1920",Temple,https://www.basketball-reference.com/players/g/getchgo01.html
John Gianelli,1973,1980,C-F,6-10,220,"June 10, 1950",University of the Pacific,https://www.basketball-reference.com/players/g/gianejo01.html
Dick Gibbs,1972,1976,F-G,6-5,210,"December 20, 1948",Texas-El Paso,https://www.basketball-reference.com/players/g/gibbsdi01.html
Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986",Texas,https://www.basketball-reference.com/players/g/gibsoda01.html
Dee Gibson,1950,1950,F-G,5-11,175,"August 25, 1923",Western Kentucky,https://www.basketball-reference.com/players/g/gibsode01.html
Hoot Gibson,1950,1950,F-C,6-5,198,"December 5, 1921",Creighton,https://www.basketball-reference.com/players/g/gibsoho01.html
Jonathan Gibson,2017,2018,G,6-2,185,"November 8, 1987",New Mexico State,https://www.basketball-reference.com/players/g/gibsojo01.html
Mel Gibson,1964,1964,G,6-3,180,"December 30, 1940",Western Carolina University,https://www.basketball-reference.com/players/g/gibsome01.html
Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960",USC Upstate,https://www.basketball-reference.com/players/g/gibsomi01.html
Taj Gibson,2010,2023,F-C,6-9,232,"June 24, 1985",USC,https://www.basketball-reference.com/players/g/gibsota01.html
J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985","Kansas, New Mexico",https://www.basketball-reference.com/players/g/giddejr01.html
Josh Giddey,2022,2023,G,6-8,210,"October 10, 2002",,https://www.basketball-reference.com/players/g/giddejo01.html
Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985","McNeese State University, Northwestern State University",https://www.basketball-reference.com/players/g/gildetr01.html
Harry Giles,2019,2021,F-C,6-11,240,"April 22, 1998",Duke,https://www.basketball-reference.com/players/g/gilesha01.html
Shai Gilgeous-Alexander,2019,2023,G,6-6,180,"July 12, 1998",Kentucky,https://www.basketball-reference.com/players/g/gilgesh01.html
Anthony Gill,2021,2023,F,6-7,230,"October 17, 1992","South Carolina, Virginia",https://www.basketball-reference.com/players/g/gillan01.html
Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State,https://www.basketball-reference.com/players/g/gilled01.html
Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968",Illinois,https://www.basketball-reference.com/players/g/gillke01.html
Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown,https://www.basketball-reference.com/players/g/gillebe01.html
Freddie Gillespie,2021,2022,F,6-9,245,"June 14, 1997","Carleton College, Baylor",https://www.basketball-reference.com/players/g/gillefr01.html
Jack Gillespie,1970,1970,F,6-6,215,"October 1, 1947",Montana State,https://www.basketball-reference.com/players/g/gilleja01.html
Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964",UNLV,https://www.basketball-reference.com/players/g/gilliar01.html
Herm Gilliam,1970,1977,G-F,6-3,190,"May 5, 1946",Purdue,https://www.basketball-reference.com/players/g/gillihe01.html
Artis Gilmore*,1972,1988,C,7-2,240,"September 21, 1949","Gardner-Webb University, Jacksonville University",https://www.basketball-reference.com/players/g/gilmoar01.html
Walt Gilmore,1971,1971,F,6-6,225,"February 27, 1947",Fort Valley State University,https://www.basketball-reference.com/players/g/gilmowa01.html
Chuck Gilmur,1947,1951,F-C,6-4,225,"August 13, 1922",Washington,https://www.basketball-reference.com/players/g/gilmuch01.html
Manu Ginóbili*,2003,2018,G,6-6,205,"July 28, 1977",,https://www.basketball-reference.com/players/g/ginobma01.html
Gordan Giriček,2003,2008,G-F,6-6,210,"June 20, 1977",,https://www.basketball-reference.com/players/g/giricgo01.html
Jack Givens,1979,1980,F-G,6-5,205,"September 21, 1956",Kentucky,https://www.basketball-reference.com/players/g/givenja01.html
Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University,https://www.basketball-reference.com/players/g/gladnmi01.html
George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918",UNC,https://www.basketball-reference.com/players/g/glamage01.html
Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967","Delta State University, Ole Miss",https://www.basketball-reference.com/players/g/glassge01.html
Mike Glenn,1978,1987,G,6-2,175,"September 10, 1955",Southern Illinois,https://www.basketball-reference.com/players/g/glennmi01.html
Normie Glick,1950,1950,F,6-7,190,"November 10, 1927",Loyola Marymount,https://www.basketball-reference.com/players/g/glickno01.html
Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",,https://www.basketball-reference.com/players/g/gloucge01.html
Clarence Glover,1972,1972,F,6-8,210,"November 1, 1947",Western Kentucky,https://www.basketball-reference.com/players/g/glovecl01.html
Dion Glover,2000,2005,G,6-5,228,"October 22, 1978",Georgia Tech,https://www.basketball-reference.com/players/g/glovedi01.html
Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",,https://www.basketball-reference.com/players/g/glynian01.html
Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959",Duke,https://www.basketball-reference.com/players/g/gminsmi01.html
Rudy Gobert,2014,2023,C,7-1,258,"June 26, 1992",,https://www.basketball-reference.com/players/g/goberru01.html
Dan Godfread,1991,1992,C,6-10,250,"June 14, 1967",University of Evansville,https://www.basketball-reference.com/players/g/godfrda01.html
Tom Gola*,1956,1966,G-F,6-6,205,"January 13, 1933",La Salle,https://www.basketball-reference.com/players/g/golato01.html
Ben Goldfaden,1947,1947,F,6-1,185,"September 6, 1913",George Washington,https://www.basketball-reference.com/players/g/goldfbe01.html
Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",Houston,https://www.basketball-reference.com/players/g/goldwan01.html
Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence,https://www.basketball-reference.com/players/g/gomesry01.html
Glen Gondrezick,1978,1983,F-G,6-6,218,"August 30, 1955",UNLV,https://www.basketball-reference.com/players/g/gondrgl01.html
Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine,https://www.basketball-reference.com/players/g/gondrgr01.html
Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",Kansas,https://www.basketball-reference.com/players/g/goodedr01.html
Gail Goodrich*,1966,1979,G,6-1,170,"April 23, 1943",UCLA,https://www.basketball-reference.com/players/g/goodrga01.html
Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976",Princeton,https://www.basketball-reference.com/players/g/goodrst01.html
Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",Kentucky,https://www.basketball-reference.com/players/g/goodwar01.html
Brandon Goodwin,2019,2022,G,6-0,180,"October 2, 1995","Central Florida, Florida Gulf Coast",https://www.basketball-reference.com/players/g/goodwbr01.html
Jordan Goodwin,2022,2023,G,6-3,200,"October 23, 1998",Saint Louis,https://www.basketball-reference.com/players/g/goodwjo01.html
Pop Goodwin,1947,1948,F-C,6-2,203,"December 22, 1920",,https://www.basketball-reference.com/players/g/goodwpo01.html
Aaron Gordon,2015,2023,F,6-8,235,"September 16, 1995",Arizona,https://www.basketball-reference.com/players/g/gordoaa01.html
Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",UConn,https://www.basketball-reference.com/players/g/gordobe01.html
Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990","UCLA, New Mexico",https://www.basketball-reference.com/players/g/gordodr01.html
Eric Gordon,2009,2023,G-F,6-3,215,"December 25, 1988",Indiana,https://www.basketball-reference.com/players/g/gordoer01.html
Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962",Louisville,https://www.basketball-reference.com/players/g/gordola01.html
Paul Gordon,1950,1950,F,6-3,185,"April 8, 1927",Notre Dame,https://www.basketball-reference.com/players/g/gordopa01.html
Marcin Gortat,2008,2019,C-F,6-11,240,"February 17, 1984",,https://www.basketball-reference.com/players/g/gortama01.html
Leo Gottlieb,1947,1948,G,5-11,180,"November 28, 1920",,https://www.basketball-reference.com/players/g/gottlle01.html
Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston,https://www.basketball-reference.com/players/g/goudean01.html
Gerald Govan,1968,1976,F-C,6-10,220,"January 2, 1942",Saint Mary of the Plains College,https://www.basketball-reference.com/players/g/govange01.html
Bato Govedarica,1954,1954,G,5-11,185,"April 17, 1928",DePaul,https://www.basketball-reference.com/players/g/govedba01.html
Joe Graboski,1949,1962,F-C,6-7,195,"January 15, 1930",,https://www.basketball-reference.com/players/g/grabojo01.html
Ricky Grace,1994,1994,G,6-1,180,"August 20, 1967","Midland College, Oklahoma",https://www.basketball-reference.com/players/g/graceri01.html
Calvin Graham,1968,1968,G,6-2,195,"June 7, 1944",Gannon University,https://www.basketball-reference.com/players/g/grahaca01.html
Devonte' Graham,2019,2023,G,6-1,195,"February 22, 1995",Kansas,https://www.basketball-reference.com/players/g/grahade01.html
Greg Graham,1994,1998,G,6-4,174,"November 26, 1970",Indiana,https://www.basketball-reference.com/players/g/grahagr01.html
Joey Graham,2006,2011,F,6-7,225,"June 11, 1982","Central Florida, Oklahoma State",https://www.basketball-reference.com/players/g/grahajo01.html
Mal Graham,1968,1969,G,6-1,185,"February 23, 1945",NYU,https://www.basketball-reference.com/players/g/grahama01.html
Orlando Graham,1989,1989,F,6-8,220,"May 5, 1965","West Texas A&M University, Auburn University at Montgomery",https://www.basketball-reference.com/players/g/grahaor01.html
Paul Graham,1992,1994,F-G,6-6,200,"November 28, 1967",Ohio University,https://www.basketball-reference.com/players/g/grahapa01.html
Stephen Graham,2006,2011,G,6-6,215,"June 11, 1982","Central Florida, Oklahoma State",https://www.basketball-reference.com/players/g/grahast01.html
Treveon Graham,2017,2020,G,6-5,219,"October 28, 1993",VCU,https://www.basketball-reference.com/players/g/grahatr01.html
Jim Grandholm,1991,1991,F-C,7-0,235,"October 4, 1960","Florida, South Florida",https://www.basketball-reference.com/players/g/grandji01.html
Ron Grandison,1989,1996,F,6-6,215,"July 9, 1964","University of California, Irvine, New Orleans",https://www.basketball-reference.com/players/g/grandro01.html
Danny Granger,2006,2015,F,6-9,222,"April 20, 1983","Bradley, New Mexico",https://www.basketball-reference.com/players/g/grangda01.html
Stewart Granger,1984,1987,G,6-3,190,"October 27, 1961",Villanova,https://www.basketball-reference.com/players/g/grangst01.html
Brian Grant,1995,2006,F,6-9,254,"March 5, 1972",Xavier,https://www.basketball-reference.com/players/g/grantbr01.html
Bud Grant,1950,1951,F,6-3,195,"May 20, 1927",Minnesota,https://www.basketball-reference.com/players/g/grantbu01.html
Gary Grant,1989,2001,G,6-3,185,"April 21, 1965",Michigan,https://www.basketball-reference.com/players/g/grantga01.html
Greg Grant,1990,1996,G,5-7,140,"August 29, 1966",Trenton State University,https://www.basketball-reference.com/players/g/grantgr01.html
Harvey Grant,1989,1999,F,6-8,195,"July 4, 1965","Clemson, Oklahoma",https://www.basketball-reference.com/players/g/grantha01.html
Horace Grant,1988,2004,F-C,6-10,215,"July 4, 1965",Clemson,https://www.basketball-reference.com/players/g/grantho01.html
Jerami Grant,2015,2023,F,6-8,210,"March 12, 1994",Syracuse,https://www.basketball-reference.com/players/g/grantje01.html
Jerian Grant,2016,2020,G,6-4,205,"October 9, 1992",Notre Dame,https://www.basketball-reference.com/players/g/grantje02.html
Josh Grant,1994,1994,F,6-9,223,"August 7, 1967",Utah,https://www.basketball-reference.com/players/g/grantjo01.html
Paul Grant,1999,2004,C,7-0,245,"January 6, 1974","Boston College, Wisconsin",https://www.basketball-reference.com/players/g/grantpa01.html
Travis Grant,1973,1976,F,6-7,215,"January 1, 1950",Kentucky State University,https://www.basketball-reference.com/players/g/granttr01.html
Donte Grantham,2019,2019,F,6-8,215,"March 19, 1995",Clemson,https://www.basketball-reference.com/players/g/grantdo01.html
Don Grate,1950,1950,F-G,6-2,185,"August 27, 1923",Ohio State,https://www.basketball-reference.com/players/g/gratedo01.html
Butch Graves,1985,1985,G,6-3,200,"January 5, 1962",Yale,https://www.basketball-reference.com/players/g/gravebu01.html
Hassani Gravett,2022,2022,G,6-2,188,"July 16, 1996","Pensacola State, South Carolina",https://www.basketball-reference.com/players/g/graveha01.html
Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",Pitt,https://www.basketball-reference.com/players/g/grayaa01.html
Devin Gray,1997,2000,F,6-7,240,"May 31, 1972",Clemson,https://www.basketball-reference.com/players/g/grayde01.html
Ed Gray,1998,1999,G,6-3,210,"September 27, 1975","Tennessee, California",https://www.basketball-reference.com/players/g/grayed01.html
Evric Gray,1997,1997,F,6-7,235,"December 13, 1969",UNLV,https://www.basketball-reference.com/players/g/grayev01.html
Gary Gray,1968,1968,G,6-1,185,"February 23, 1945",Oklahoma City University,https://www.basketball-reference.com/players/g/grayga01.html
Josh Gray,2018,2020,G,6-0,180,"September 9, 1993",LSU,https://www.basketball-reference.com/players/g/grayjo01.html
Leonard Gray,1975,1977,F,6-8,240,"December 19, 1951",Cal State Long Beach,https://www.basketball-reference.com/players/g/grayle01.html
Stuart Gray,1985,1991,C-F,7-0,235,"May 27, 1963",UCLA,https://www.basketball-reference.com/players/g/grayst01.html
Sylvester Gray,1989,1989,F,6-6,230,"July 8, 1967",Memphis,https://www.basketball-reference.com/players/g/graysy01.html
Wyndol Gray,1947,1948,G-F,6-1,175,"March 20, 1922",Harvard University,https://www.basketball-reference.com/players/g/graywy01.html
Jeff Grayer,1989,1998,F-G,6-5,200,"December 17, 1965",Iowa State,https://www.basketball-reference.com/players/g/grayeje01.html
Bob Greacen,1970,1972,F,6-7,206,"September 15, 1947",Rutgers University,https://www.basketball-reference.com/players/g/greacbo01.html
A.C. Green,1986,2001,F-C,6-9,220,"October 4, 1963",Oregon State,https://www.basketball-reference.com/players/g/greenac01.html
A.J. Green,2023,2023,G,6-4,200,"September 27, 1999",University of Northern Iowa,https://www.basketball-reference.com/players/g/greenaj01.html
Danny Green,2010,2023,G-F,6-6,215,"June 22, 1987",UNC,https://www.basketball-reference.com/players/g/greenda02.html
Devin Green,2006,2006,G,6-7,210,"October 25, 1982",Hampton,https://www.basketball-reference.com/players/g/greende01.html
Draymond Green,2013,2023,F,6-6,230,"March 4, 1990",Michigan State,https://www.basketball-reference.com/players/g/greendr01.html
Erick Green,2015,2016,G,6-4,185,"May 9, 1991",Virginia Tech,https://www.basketball-reference.com/players/g/greener01.html
Gerald Green,2006,2019,G-F,6-6,205,"January 26, 1986",,https://www.basketball-reference.com/players/g/greenge01.html
Jalen Green,2022,2023,G,6-4,178,"February 9, 2002",,https://www.basketball-reference.com/players/g/greenja05.html
JaMychal Green,2015,2023,F,6-8,227,"June 21, 1990",Alabama,https://www.basketball-reference.com/players/g/greenja01.html
Javonte Green,2020,2023,F,6-4,205,"July 23, 1993",Radford,https://www.basketball-reference.com/players/g/greenja02.html
Jeff Green,2008,2023,F,6-8,235,"August 28, 1986",Georgetown,https://www.basketball-reference.com/players/g/greenje02.html
Johnny Green,1960,1973,F-C,6-5,200,"December 8, 1933",Michigan State,https://www.basketball-reference.com/players/g/greenjo01.html
Josh Green,2021,2023,G-F,6-5,200,"November 16, 2000",Arizona,https://www.basketball-reference.com/players/g/greenjo02.html
Ken Green,1986,1986,F,6-8,215,"September 19, 1959",University of Texas Rio Grande Valley,https://www.basketball-reference.com/players/g/greenke01.html
Kenny Green,1986,1987,F,6-6,210,"October 11, 1964",Wake Forest,https://www.basketball-reference.com/players/g/greenke02.html
Lamar Green,1970,1975,F-C,6-7,210,"March 22, 1947",Morehead State University,https://www.basketball-reference.com/players/g/greenla01.html
Litterial Green,1993,1999,G,6-1,185,"March 7, 1970",Georgia,https://www.basketball-reference.com/players/g/greenli01.html
Luther Green,1970,1973,F,6-7,190,"November 13, 1946",Long Island University,https://www.basketball-reference.com/players/g/greenlu01.html
Mike Green,1974,1980,C-F,6-10,200,"August 6, 1951",Louisiana Tech,https://www.basketball-reference.com/players/g/greenmi01.html
Rickey Green,1978,1992,G,6-0,170,"August 18, 1954","Vincennes University, Michigan",https://www.basketball-reference.com/players/g/greenri01.html
Sean Green,1992,1994,G-F,6-5,210,"February 2, 1970","NC State, Iona College",https://www.basketball-reference.com/players/g/greense01.html
Si Green,1957,1966,G-F,6-2,185,"August 20, 1933",Duquesne,https://www.basketball-reference.com/players/g/greensi01.html
Sidney Green,1984,1993,F-C,6-9,220,"January 4, 1961",UNLV,https://www.basketball-reference.com/players/g/greensi02.html
Steve Green,1976,1979,F,6-7,220,"October 4, 1953",Indiana,https://www.basketball-reference.com/players/g/greenst01.html
Taurean Green,2008,2008,G,6-0,177,"November 28, 1986",Florida,https://www.basketball-reference.com/players/g/greenta01.html
Tommie Green,1979,1979,G,6-2,185,"April 8, 1956",Southern University and A&M College,https://www.basketball-reference.com/players/g/greento01.html
Willie Green,2004,2015,G,6-4,200,"July 28, 1981",Detroit Mercy,https://www.basketball-reference.com/players/g/greenwi01.html
Donté Greene,2009,2012,F,6-11,226,"February 21, 1988",Syracuse,https://www.basketball-reference.com/players/g/greendo01.html
Orien Greene,2006,2011,G,6-4,208,"February 4, 1982","Florida, Louisiana",https://www.basketball-reference.com/players/g/greenor01.html
Jerry Greenspan,1964,1965,F,6-5,195,"November 22, 1941",Maryland,https://www.basketball-reference.com/players/g/greenje01.html
Dave Greenwood,1980,1991,F-C,6-9,222,"May 27, 1957",UCLA,https://www.basketball-reference.com/players/g/greenda01.html
Hal Greer*,1959,1973,G-F,6-2,175,"June 26, 1936",Marshall,https://www.basketball-reference.com/players/g/greerha01.html
Lynn Greer,2007,2007,G,6-2,175,"October 23, 1979",Temple,https://www.basketball-reference.com/players/g/greerly01.html
Gary Gregor,1969,1974,F-C,6-7,225,"August 13, 1945",South Carolina,https://www.basketball-reference.com/players/g/gregoga01.html
Claude Gregory,1986,1988,F,6-8,205,"December 26, 1958",Wisconsin,https://www.basketball-reference.com/players/g/gregocl01.html
John Greig,1983,1983,F,6-7,215,"April 28, 1961",Oregon,https://www.basketball-reference.com/players/g/greigjo01.html
Norm Grekin,1954,1954,F,6-5,180,"June 22, 1930",La Salle,https://www.basketball-reference.com/players/g/grekino01.html
Kevin Grevey,1976,1985,G-F,6-5,210,"May 12, 1953",Kentucky,https://www.basketball-reference.com/players/g/greveke01.html
Dennis Grey,1969,1970,C-F,6-8,215,"August 26, 1947",California Western Uiversity,https://www.basketball-reference.com/players/g/greyde01.html
Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall,https://www.basketball-reference.com/players/g/griffad01.html
