Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924",NYU,https://www.basketball-reference.com/players/k/kellyto01.html
Greg Kelser,1980,1985,F,6-7,190,"September 17, 1957",Michigan State,https://www.basketball-reference.com/players/k/kelsegr01.html
Ben Kelso,1974,1974,G,6-3,195,"April 11, 1949",Central Michigan University,https://www.basketball-reference.com/players/k/kelsobe01.html
Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969",Trinity Valley CC,https://www.basketball-reference.com/players/k/kempsh01.html
Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964",Notre Dame,https://www.basketball-reference.com/players/k/kemptti01.html
Frank Kendrick,1975,1975,F,6-6,198,"September 11, 1950",Purdue,https://www.basketball-reference.com/players/k/kendrfr01.html
Luke Kennard,2018,2023,G,6-5,206,"June 24, 1996",Duke,https://www.basketball-reference.com/players/k/kennalu01.html
D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's,https://www.basketball-reference.com/players/k/kennedj01.html
Goo Kennedy,1972,1977,F-C,6-5,205,"August 23, 1949","Fort Worth Community College, TCU",https://www.basketball-reference.com/players/k/kennego01.html
Joe Kennedy,1969,1971,F,6-6,210,"January 12, 1947",Duke,https://www.basketball-reference.com/players/k/kennejo01.html
Pickles Kennedy,1961,1961,G,5-11,180,"May 17, 1938",Temple,https://www.basketball-reference.com/players/k/kennepi01.html
Larry Kenon,1974,1983,F,6-9,205,"December 13, 1952","Amarillo College, Memphis",https://www.basketball-reference.com/players/k/kenonla01.html
Billy Kenville,1954,1960,G-F,6-2,187,"December 1, 1930",St. Bonaventure,https://www.basketball-reference.com/players/k/kenvibi01.html
Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","Florida State, East Carolina University",https://www.basketball-reference.com/players/k/kernejo01.html
Red Kerr,1955,1966,C-F,6-9,230,"July 17, 1932",Illinois,https://www.basketball-reference.com/players/k/kerrre01.html
Steve Kerr,1989,2003,G,6-3,175,"September 27, 1965",Arizona,https://www.basketball-reference.com/players/k/kerrst01.html
Jack Kerris,1950,1953,F-C,6-6,215,"January 30, 1925",Loyola Chicago,https://www.basketball-reference.com/players/k/kerrija01.html
Jerome Kersey,1985,2001,F,6-7,215,"June 26, 1962",Longwood University,https://www.basketball-reference.com/players/k/kerseje01.html
Tom Kerwin,1968,1968,F,6-7,210,"July 19, 1944",Centenary (LA),https://www.basketball-reference.com/players/k/kerwito01.html
Alec Kessler,1991,1994,F-C,6-11,230,"January 13, 1967",Georgia,https://www.basketball-reference.com/players/k/kesslal01.html
Walker Kessler,2023,2023,C,7-1,245,"July 26, 2001","UNC, Auburn",https://www.basketball-reference.com/players/k/kesslwa01.html
Lari Ketner,2000,2001,F-C,6-9,277,"February 1, 1977",UMass,https://www.basketball-reference.com/players/k/ketnela01.html
Braxton Key,2022,2023,F,6-8,230,"February 14, 1997","Alabama, Virginia",https://www.basketball-reference.com/players/k/keybr01.html
Julius Keye,1970,1975,F-C,6-10,200,"September 5, 1946","South Carolina State, Alcorn State",https://www.basketball-reference.com/players/k/keyeju01.html
Randolph Keys,1989,1996,F-G,6-7,195,"April 19, 1966",Southern Miss,https://www.basketball-reference.com/players/k/keysra01.html
Viktor Khryapa,2005,2008,F,6-9,210,"August 3, 1982",,https://www.basketball-reference.com/players/k/khryavi01.html
Jason Kidd*,1995,2013,G,6-4,205,"March 23, 1973",California,https://www.basketball-reference.com/players/k/kiddja01.html
Stanton Kidd,2020,2020,F,6-6,215,"March 18, 1992","South Plains College, NC Central, Colorado State",https://www.basketball-reference.com/players/k/kiddst01.html
Warren Kidd,1994,1994,F,6-9,235,"September 9, 1970",Middle Tennessee,https://www.basketball-reference.com/players/k/kiddwa01.html
Michael Kidd-Gilchrist,2013,2020,F,6-6,232,"September 26, 1993",Kentucky,https://www.basketball-reference.com/players/k/kiddgmi01.html
Irv Kiffin,1980,1980,F,6-9,225,"August 8, 1951",Oklahoma Baptist University,https://www.basketball-reference.com/players/k/kiffiir01.html
Jack Kiley,1952,1953,G,6-1,170,"January 5, 1929",Syracuse,https://www.basketball-reference.com/players/k/kileyja01.html
Earnie Killum,1971,1971,G,6-3,180,"June 11, 1948",Stetson University,https://www.basketball-reference.com/players/k/killuea01.html
Carl Kilpatrick,1980,1980,C,6-10,230,"May 16, 1956",Louisiana-Monroe,https://www.basketball-reference.com/players/k/kilpaca01.html
Sean Kilpatrick,2015,2018,G,6-4,210,"January 6, 1990",Cincinnati,https://www.basketball-reference.com/players/k/kilpase01.html
Toby Kimball,1967,1975,F-C,6-6,220,"September 7, 1942",UConn,https://www.basketball-reference.com/players/k/kimbato01.html
Bo Kimble,1991,1993,G,6-4,190,"April 9, 1966","USC, Loyola Marymount",https://www.basketball-reference.com/players/k/kimblbo01.html
Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966","Central Florida, Xavier",https://www.basketball-reference.com/players/k/kimbrst01.html
Chad Kinch,1981,1981,G,6-4,190,"May 22, 1958",UNC Charlotte,https://www.basketball-reference.com/players/k/kinchch01.html
Albert King,1982,1992,F-G,6-6,190,"December 17, 1959",Maryland,https://www.basketball-reference.com/players/k/kingal01.html
Bernard King*,1978,1993,F,6-7,205,"December 4, 1956",Tennessee,https://www.basketball-reference.com/players/k/kingbe01.html
Chris King,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest,https://www.basketball-reference.com/players/k/kingch01.html
Dan King,1955,1955,F,6-6,220,"January 7, 1931",Western Kentucky,https://www.basketball-reference.com/players/k/kingda01.html
Frankie King,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University,https://www.basketball-reference.com/players/k/kingfr01.html
George King,1952,1958,G,6-0,175,"August 16, 1928",University of Charleston,https://www.basketball-reference.com/players/k/kingge01.html
George King,2019,2022,G-F,6-6,225,"January 15, 1994",Colorado,https://www.basketball-reference.com/players/k/kingge03.html
Gerard King,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State,https://www.basketball-reference.com/players/k/kingge02.html
Jim King,1964,1973,G,6-2,175,"February 7, 1941",Tulsa,https://www.basketball-reference.com/players/k/kingji01.html
Jimmy King,1996,1997,G,6-5,210,"August 9, 1973",Michigan,https://www.basketball-reference.com/players/k/kingji02.html
Louis King,2020,2022,F,6-7,205,"April 6, 1999",Oregon,https://www.basketball-reference.com/players/k/kinglo02.html
Loyd King,1972,1973,G,6-2,180,"May 29, 1949",Virginia Tech,https://www.basketball-reference.com/players/k/kinglo01.html
Maurice King,1960,1963,G,6-2,195,"March 12, 1935",Kansas,https://www.basketball-reference.com/players/k/kingma01.html
Reggie King,1980,1985,F,6-6,225,"February 14, 1957",Alabama,https://www.basketball-reference.com/players/k/kingre01.html
Rich King,1992,1995,C,7-2,260,"April 4, 1969",Nebraska,https://www.basketball-reference.com/players/k/kingri01.html
Ron King,1974,1974,G,6-4,185,"July 11, 1951",Florida State,https://www.basketball-reference.com/players/k/kingro01.html
Stacey King,1990,1997,F-C,6-11,230,"January 29, 1967",Oklahoma,https://www.basketball-reference.com/players/k/kingst01.html
Tom King,1947,1947,G,6-0,165,"March 9, 1924",Michigan,https://www.basketball-reference.com/players/k/kingto01.html
Bob Kinney,1949,1950,C-F,6-6,215,"September 16, 1920",Rice University,https://www.basketball-reference.com/players/k/kinnebo01.html
Tarence Kinsey,2007,2009,G,6-6,185,"March 21, 1984",South Carolina,https://www.basketball-reference.com/players/k/kinseta01.html
Andrei Kirilenko,2002,2015,F,6-9,220,"February 18, 1981",,https://www.basketball-reference.com/players/k/kirilan01.html
Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",New Mexico,https://www.basketball-reference.com/players/k/kirkal01.html
Walt Kirk,1949,1952,G-F,6-3,173,"September 3, 1924",Illinois,https://www.basketball-reference.com/players/k/kirkwa01.html
Wilbur Kirkland,1970,1970,F,6-7,190,,Cheyney (PA),https://www.basketball-reference.com/players/k/kirklwi01.html
Corey Kispert,2022,2023,G-F,6-7,220,"March 3, 1999",Gonzaga,https://www.basketball-reference.com/players/k/kispeco01.html
Jim Kissane,1969,1969,F,6-7,210,"August 17, 1946",Boston College,https://www.basketball-reference.com/players/k/kissaji01.html
Doug Kistler,1962,1962,F,6-9,210,"March 21, 1938",Duke,https://www.basketball-reference.com/players/k/kistldo01.html
Curtis Kitchen,1987,1987,F,6-9,235,"January 30, 1964",South Florida,https://www.basketball-reference.com/players/k/kitchcu01.html
Greg Kite,1984,1995,C,6-11,250,"August 5, 1961",BYU,https://www.basketball-reference.com/players/k/kitegr01.html
Kerry Kittles,1997,2005,G,6-5,179,"June 12, 1974",Villanova,https://www.basketball-reference.com/players/k/kittlke01.html
Maxi Kleber,2018,2023,F,6-10,240,"January 29, 1992",,https://www.basketball-reference.com/players/k/klebima01.html
Joe Kleine,1986,2000,C,6-11,255,"January 4, 1962","Notre Dame, Arkansas",https://www.basketball-reference.com/players/k/kleinjo01.html
Linas Kleiza,2006,2013,F,6-8,245,"January 3, 1985",Missouri,https://www.basketball-reference.com/players/k/kleizli01.html
Leo Klier,1949,1950,F-G,6-2,170,"May 21, 1923",Notre Dame,https://www.basketball-reference.com/players/k/klierle01.html
Herm Klotz,1948,1948,G,5-7,150,"October 21, 1921",Villanova,https://www.basketball-reference.com/players/k/klotzhe01.html
Duane Klueh,1950,1951,G,6-3,175,"January 6, 1926",Indiana State University,https://www.basketball-reference.com/players/k/kluehdu01.html
Lonnie Kluttz,1971,1971,F,6-7,220,"September 17, 1945",North Carolina A&T,https://www.basketball-reference.com/players/k/kluttlo01.html
Billy Knight,1975,1985,G-F,6-6,195,"June 9, 1952",Pitt,https://www.basketball-reference.com/players/k/knighbi01.html
Bob Knight,1955,1955,G-F,6-2,185,"April 30, 1929",,https://www.basketball-reference.com/players/k/knighbo01.html
Brandin Knight,2005,2005,G,6-0,180,"December 16, 1981",Pitt,https://www.basketball-reference.com/players/k/knighbr02.html
Brandon Knight,2012,2022,G,6-2,182,"December 2, 1991",Kentucky,https://www.basketball-reference.com/players/k/knighbr03.html
Brevin Knight,1998,2009,G,5-10,173,"November 8, 1975",Stanford,https://www.basketball-reference.com/players/k/knighbr01.html
Nathan Knight,2021,2023,F-C,6-10,253,"September 20, 1997",William & Mary,https://www.basketball-reference.com/players/k/knighna01.html
Negele Knight,1991,1999,G,6-1,175,"March 6, 1967",Dayton,https://www.basketball-reference.com/players/k/knighne01.html
Ron Knight,1971,1972,F,6-7,215,"August 4, 1947","California State University, Los Angeles",https://www.basketball-reference.com/players/k/knighro01.html
Toby Knight,1978,1982,F,6-9,210,"May 3, 1955",Notre Dame,https://www.basketball-reference.com/players/k/knighto01.html
Travis Knight,1997,2003,C,7-0,235,"September 13, 1974",UConn,https://www.basketball-reference.com/players/k/knightr01.html
Lee Knorek,1947,1950,C,6-7,215,"July 15, 1921",Detroit Mercy,https://www.basketball-reference.com/players/k/knorele01.html
Dick Knostman,1954,1954,C,6-6,215,"August 9, 1931",Kansas State,https://www.basketball-reference.com/players/k/knostdi01.html
Rod Knowles,1969,1969,F-C,6-9,215,"February 27, 1946",Davidson,https://www.basketball-reference.com/players/k/knowlro01.html
Kevin Knox,2019,2023,F,6-7,215,"August 11, 1999",Kentucky,https://www.basketball-reference.com/players/k/knoxke01.html
Bart Kofoed,1988,1993,G,6-4,210,"March 24, 1964","Hastings College, University of Nebraska at Kearney",https://www.basketball-reference.com/players/k/kofoeba01.html
Don Kojis,1964,1975,F,6-5,215,"January 15, 1939",Marquette,https://www.basketball-reference.com/players/k/kojisdo01.html
Christian Koloko,2023,2023,C,7-1,230,"June 20, 2000",Arizona,https://www.basketball-reference.com/players/k/kolokch01.html
Milo Komenich,1950,1950,F-C,6-7,212,"June 22, 1920",Wyoming,https://www.basketball-reference.com/players/k/komenmi01.html
Howard Komives,1965,1974,G,6-1,185,"May 9, 1941",Bowling Green,https://www.basketball-reference.com/players/k/komivho01.html
Jon Koncak,1986,1996,C-F,7-0,250,"May 17, 1963",SMU,https://www.basketball-reference.com/players/k/koncajo01.html
John Konchar,2020,2023,G,6-5,210,"March 22, 1996",Purdue-Fort Wayne,https://www.basketball-reference.com/players/k/konchjo01.html
Tom Kondla,1969,1969,C,6-8,225,"November 30, 1946",Minnesota,https://www.basketball-reference.com/players/k/kondlto01.html
Bud Koper,1965,1965,G,6-6,210,"August 9, 1942",Oklahoma City University,https://www.basketball-reference.com/players/k/koperbu01.html
Joe Kopicki,1983,1985,F,6-9,240,"June 12, 1960",Detroit Mercy,https://www.basketball-reference.com/players/k/kopicjo01.html
Furkan Korkmaz,2018,2023,G,6-7,202,"July 24, 1997",,https://www.basketball-reference.com/players/k/korkmfu01.html
Frank Kornet,1990,1991,F,6-9,225,"January 27, 1967",Vanderbilt,https://www.basketball-reference.com/players/k/kornefr01.html
Luke Kornet,2018,2023,F,7-2,250,"July 15, 1995",Vanderbilt,https://www.basketball-reference.com/players/k/kornelu01.html
Yaroslav Korolev,2006,2007,F,6-9,203,"May 7, 1987",,https://www.basketball-reference.com/players/k/korolya01.html
Kyle Korver,2004,2020,G-F,6-7,212,"March 17, 1981",Creighton,https://www.basketball-reference.com/players/k/korveky01.html
Tony Koski,1969,1969,F,6-8,215,"June 26, 1946",Providence,https://www.basketball-reference.com/players/k/koskito01.html
Len Kosmalski,1975,1976,C,7-0,245,"November 29, 1951",Tennessee,https://www.basketball-reference.com/players/k/kosmale01.html
Andy Kostecka,1949,1949,F,6-3,203,"February 10, 1921",Georgetown,https://www.basketball-reference.com/players/k/kostean01.html
Harold Kottman,1947,1947,C,6-8,220,"August 22, 1922",Culver-Stockton College,https://www.basketball-reference.com/players/k/kottmha01.html
Kosta Koufos,2009,2019,C,7-0,245,"February 24, 1989",Ohio State,https://www.basketball-reference.com/players/k/koufoko01.html
Tom Kozelko,1974,1976,F,6-8,220,"July 1, 1951",Toledo,https://www.basketball-reference.com/players/k/kozelto01.html
Ron Kozlicki,1968,1968,F,6-7,215,"December 12, 1944",Northwestern,https://www.basketball-reference.com/players/k/kozliro01.html
Arvid Kramer,1980,1980,C,6-9,220,"October 2, 1956",Augustana College (SD),https://www.basketball-reference.com/players/k/kramear01.html
Barry Kramer,1965,1970,F-G,6-4,200,"November 10, 1942",NYU,https://www.basketball-reference.com/players/k/krameba01.html
Joel Kramer,1979,1983,F-C,6-7,203,"November 30, 1955",San Diego State,https://www.basketball-reference.com/players/k/kramejo01.html
Steve Kramer,1968,1970,G-F,6-5,200,"January 1, 1945",BYU,https://www.basketball-reference.com/players/k/kramest01.html
Dan Kraus,1949,1949,G,6-0,195,"February 13, 1923",Georgetown,https://www.basketball-reference.com/players/k/krausda01.html
Herb Krautblatt,1949,1949,G,6-1,190,"November 19, 1926",Rider University,https://www.basketball-reference.com/players/k/krauthe01.html
Viacheslav Kravtsov,2013,2014,C,7-0,260,"August 25, 1987",,https://www.basketball-reference.com/players/k/kravtvi01.html
Jim Krebs,1958,1964,C-F,6-8,230,"September 8, 1935",SMU,https://www.basketball-reference.com/players/k/krebsji01.html
Vit Krejci,2022,2023,G,6-8,195,"June 19, 2000",,https://www.basketball-reference.com/players/k/krejcvi01.html
Wayne Kreklow,1981,1981,G,6-4,175,"January 4, 1957",Drake University,https://www.basketball-reference.com/players/k/kreklwa01.html
Tommy Kron,1967,1970,G,6-5,200,"February 28, 1943",Kentucky,https://www.basketball-reference.com/players/k/kronto01.html
Tom Kropp,1976,1977,G,6-3,205,"February 12, 1953",University of Nebraska at Kearney,https://www.basketball-reference.com/players/k/kroppto01.html
Nenad Krstić,2005,2011,C,7-0,240,"July 25, 1983",,https://www.basketball-reference.com/players/k/krstine01.html
Larry Krystkowiak,1987,1997,F-C,6-9,220,"September 23, 1964",Montana,https://www.basketball-reference.com/players/k/krystla01.html
Steve Kuberski,1970,1978,F-C,6-8,215,"November 6, 1947",Bradley,https://www.basketball-reference.com/players/k/kuberst01.html
Leo Kubiak,1950,1950,G,5-11,160,"December 25, 1927",Bowling Green,https://www.basketball-reference.com/players/k/kubiale01.html
Bruce Kuczenski,1984,1984,F,6-10,230,"February 3, 1961",UConn,https://www.basketball-reference.com/players/k/kuczebr01.html
Frank Kudelka,1950,1953,G-F,6-2,193,"June 25, 1925",Saint Mary's,https://www.basketball-reference.com/players/k/kudelfr01.html
John Kuester,1978,1980,G,6-2,180,"February 6, 1955",UNC,https://www.basketball-reference.com/players/k/kuestjo01.html
Ray Kuka,1948,1949,F,6-3,200,"February 17, 1922",Notre Dame,https://www.basketball-reference.com/players/k/kukara01.html
Toni Kukoč*,1994,2006,F,6-10,192,"September 18, 1968",,https://www.basketball-reference.com/players/k/kukocto01.html
Arnoldas Kulboka,2022,2022,F,6-9,198,"January 4, 1998",,https://www.basketball-reference.com/players/k/kulboar01.html
Jonathan Kuminga,2022,2023,F,6-8,210,"October 6, 2002",,https://www.basketball-reference.com/players/k/kuminjo01.html
Kevin Kunnert,1974,1982,C-F,7-0,230,"November 11, 1951",Iowa,https://www.basketball-reference.com/players/k/kunneke01.html
Terry Kunze,1968,1968,G-F,6-4,210,"March 11, 1943",Minnesota,https://www.basketball-reference.com/players/k/kunzete01.html
Mitch Kupchak,1977,1986,F-C,6-9,230,"May 24, 1954",UNC,https://www.basketball-reference.com/players/k/kupchmi01.html
C.J. Kupec,1976,1978,F-C,6-6,220,"January 26, 1953",Michigan,https://www.basketball-reference.com/players/k/kupeccj01.html
Rodions Kurucs,2019,2021,F,6-9,228,"February 5, 1998",,https://www.basketball-reference.com/players/k/kurucro01.html
Rob Kurz,2009,2009,F,6-9,232,"March 5, 1985",Notre Dame,https://www.basketball-reference.com/players/k/kurzro01.html
Ibo Kutluay,2005,2005,G,6-6,200,"July 1, 1974",,https://www.basketball-reference.com/players/k/kutluib01.html
Kyle Kuzma,2018,2023,F,6-9,221,"July 24, 1995",Utah,https://www.basketball-reference.com/players/k/kuzmaky01.html
Ognjen Kuzmić,2014,2015,C,7-1,251,"May 16, 1990",,https://www.basketball-reference.com/players/k/kuzmiog01.html
Mindaugas Kuzminskas,2017,2018,F,6-9,215,"October 19, 1989",,https://www.basketball-reference.com/players/k/kuzmimi01.html
