Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Charles Oakley,1986,2004,F-C,6-8,225,"December 18, 1963",Virginia Union University,https://www.basketball-reference.com/players/o/oaklech01.html
Fabricio Oberto,2006,2011,C-F,6-10,245,"March 21, 1975",,https://www.basketball-reference.com/players/o/obertfa01.html
Daniel Ochefu,2017,2017,C,6-11,245,"December 15, 1993",Villanova,https://www.basketball-reference.com/players/o/ochefda01.html
Greg Oden,2009,2014,C,7-0,250,"January 22, 1988",Ohio State,https://www.basketball-reference.com/players/o/odengr01.html
Lamar Odom,2000,2013,F,6-10,220,"November 6, 1979",Rhode Island,https://www.basketball-reference.com/players/o/odomla01.html
Bud Ogden,1970,1971,F,6-6,215,"December 29, 1946",Santa Clara,https://www.basketball-reference.com/players/o/ogdenbu01.html
Ralph Ogden,1971,1971,F,6-5,205,"January 25, 1948",Santa Clara,https://www.basketball-reference.com/players/o/ogdenra01.html
Alan Ogg,1991,1993,C,7-2,240,"July 5, 1967",UAB,https://www.basketball-reference.com/players/o/oggal01.html
Don Ohl,1961,1970,G,6-3,190,"April 18, 1936",Illinois,https://www.basketball-reference.com/players/o/ohldo01.html
Tim Ohlbrecht,2013,2013,C,6-11,255,"August 30, 1988",,https://www.basketball-reference.com/players/o/ohlbrti01.html
Semi Ojeleye,2018,2022,F,6-6,240,"December 5, 1994","Duke, SMU",https://www.basketball-reference.com/players/o/ojelese01.html
Emeka Okafor,2005,2018,C-F,6-10,252,"September 28, 1982",UConn,https://www.basketball-reference.com/players/o/okafoem01.html
Jahlil Okafor,2016,2021,C-F,6-10,270,"December 15, 1995",Duke,https://www.basketball-reference.com/players/o/okafoja01.html
Chuma Okeke,2021,2023,F,6-6,229,"August 18, 1998",Auburn,https://www.basketball-reference.com/players/o/okekech01.html
Elie Okobo,2019,2020,G,6-3,190,"October 23, 1997",,https://www.basketball-reference.com/players/o/okoboel01.html
Josh Okogie,2019,2023,G,6-4,213,"September 1, 1998",Georgia Tech,https://www.basketball-reference.com/players/o/okogijo01.html
Onyeka Okongwu,2021,2023,F,6-8,235,"December 11, 2000",USC,https://www.basketball-reference.com/players/o/okongon01.html
Isaac Okoro,2021,2023,G-F,6-5,225,"January 26, 2001",Auburn,https://www.basketball-reference.com/players/o/okorois01.html
KZ Okpala,2020,2023,F,6-8,215,"April 28, 1999",Stanford,https://www.basketball-reference.com/players/o/okpalkz01.html
Mehmet Okur,2003,2012,C-F,6-11,249,"May 26, 1979",,https://www.basketball-reference.com/players/o/okurme01.html
Victor Oladipo,2014,2023,G,6-4,213,"May 4, 1992",Indiana,https://www.basketball-reference.com/players/o/oladivi01.html
Hakeem Olajuwon*,1985,2002,C,7-0,255,"January 21, 1963",Houston,https://www.basketball-reference.com/players/o/olajuha01.html
Mark Olberding,1976,1987,F,6-8,225,"April 21, 1956",Minnesota,https://www.basketball-reference.com/players/o/olberma01.html
Jawann Oldham,1981,1991,C,7-0,215,"July 4, 1957",Seattle University,https://www.basketball-reference.com/players/o/oldhaja01.html
John Oldham,1950,1951,G,6-3,175,"June 22, 1923",Western Kentucky,https://www.basketball-reference.com/players/o/oldhajo01.html
Frank Oleynick,1976,1977,G,6-2,185,"February 20, 1955",Seattle University,https://www.basketball-reference.com/players/o/oleynfr01.html
John Olive,1979,1980,F,6-7,210,"March 1, 1955",Villanova,https://www.basketball-reference.com/players/o/olivejo01.html
Brian Oliver,1991,1998,G,6-4,210,"June 1, 1968",Georgia Tech,https://www.basketball-reference.com/players/o/olivebr01.html
Cameron Oliver,2021,2022,F,6-8,239,"July 11, 1996",Nevada,https://www.basketball-reference.com/players/o/oliveca01.html
Dean Oliver,2002,2003,G,5-11,180,"November 5, 1978",Iowa,https://www.basketball-reference.com/players/o/olivede01.html
Jimmy Oliver,1992,1999,G-F,6-5,205,"July 12, 1969",Purdue,https://www.basketball-reference.com/players/o/oliveji01.html
Kevin Ollie,1998,2010,G,6-4,195,"December 27, 1972",UConn,https://www.basketball-reference.com/players/o/ollieke01.html
Gene Ollrich,1950,1950,G,5-11,160,"June 30, 1922",Drake University,https://www.basketball-reference.com/players/o/ollrige01.html
Michael Olowokandi,1999,2007,C,7-0,269,"April 3, 1975",University of the Pacific,https://www.basketball-reference.com/players/o/olowomi01.html
Bud Olsen,1963,1970,F-C,6-8,220,"July 25, 1940",Louisville,https://www.basketball-reference.com/players/o/olsenbu01.html
Kelly Olynyk,2014,2023,C-F,6-11,240,"April 19, 1991",Gonzaga,https://www.basketball-reference.com/players/o/olynyke01.html
Eugene Omoruyi,2022,2023,F,6-7,244,"February 14, 1997","Rutgers University, Oregon",https://www.basketball-reference.com/players/o/omorueu01.html
Miye Oni,2020,2022,G,6-5,206,"August 4, 1997",Yale,https://www.basketball-reference.com/players/o/onimi01.html
Arinze Onuaku,2014,2017,C,6-9,255,"July 13, 1987",Syracuse,https://www.basketball-reference.com/players/o/onuakar01.html
Chinanu Onuaku,2017,2018,F-C,6-10,245,"November 1, 1996",Louisville,https://www.basketball-reference.com/players/o/onuakch01.html
Barry Orms,1969,1970,G,6-3,190,"May 1, 1946",Saint Louis,https://www.basketball-reference.com/players/o/ormsba01.html
Johnny Orr,1950,1950,F,6-3,195,"June 10, 1927",Beloit College,https://www.basketball-reference.com/players/o/orrjo01.html
Louis Orr,1981,1988,F,6-8,175,"May 7, 1958",Syracuse,https://www.basketball-reference.com/players/o/orrlo01.html
José Ortiz,1989,1990,F,6-10,225,"October 25, 1963",Oregon State,https://www.basketball-reference.com/players/o/ortizjo01.html
Daniel Orton,2012,2014,C-F,6-10,255,"August 6, 1990",Kentucky,https://www.basketball-reference.com/players/o/ortonda01.html
Chuck Osborne,1962,1962,F,6-6,210,"January 21, 1939",Western Kentucky,https://www.basketball-reference.com/players/o/osborch01.html
Cedi Osman,2018,2023,F,6-7,230,"April 8, 1995",,https://www.basketball-reference.com/players/o/osmande01.html
Wally Osterkorn,1952,1955,F-C,6-5,215,"July 6, 1928",Illinois,https://www.basketball-reference.com/players/o/osterwa01.html
Greg Ostertag,1996,2006,C,7-2,280,"March 6, 1973",Kansas,https://www.basketball-reference.com/players/o/ostergr01.html
Matt Othick,1993,1993,G,6-2,165,"March 16, 1969",Arizona,https://www.basketball-reference.com/players/o/othicma01.html
Don Otten,1950,1953,C,6-11,240,"April 18, 1921",Bowling Green,https://www.basketball-reference.com/players/o/ottendo01.html
Mac Otten,1950,1950,F-C,6-7,220,"December 16, 1925",Bowling Green,https://www.basketball-reference.com/players/o/ottenma01.html
Daniel Oturu,2021,2022,F-C,6-8,240,"September 20, 1999",Minnesota,https://www.basketball-reference.com/players/o/oturuda01.html
Kelly Oubre Jr.,2016,2023,F,6-7,203,"December 9, 1995",Kansas,https://www.basketball-reference.com/players/o/oubreke01.html
Bo Outlaw,1994,2008,F,6-8,210,"April 13, 1971","South Plains College, Houston",https://www.basketball-reference.com/players/o/outlabo01.html
Travis Outlaw,2004,2014,F,6-9,210,"September 18, 1984",,https://www.basketball-reference.com/players/o/outlatr01.html
Claude Overton,1953,1953,G,6-2,195,"December 16, 1927",East Central University,https://www.basketball-reference.com/players/o/overtcl01.html
Doug Overton,1993,2004,G,6-3,190,"August 3, 1969",La Salle,https://www.basketball-reference.com/players/o/overtdo01.html
Andre Owens,2006,2008,G,6-4,200,"October 31, 1980","Indiana, Houston",https://www.basketball-reference.com/players/o/owensan01.html
Billy Owens,1992,2001,F-G,6-8,220,"May 1, 1969",Syracuse,https://www.basketball-reference.com/players/o/owensbi01.html
Chris Owens,2003,2003,F,6-7,245,"March 1, 1979","Tulane, Texas",https://www.basketball-reference.com/players/o/owensch01.html
Eddie Owens,1978,1978,F,6-7,210,"December 26, 1953",UNLV,https://www.basketball-reference.com/players/o/owensed01.html
Jim Owens,1974,1975,F,6-5,200,"May 1, 1950",Arizona State,https://www.basketball-reference.com/players/o/owensji01.html
Keith Owens,1992,1992,F,6-7,225,"May 31, 1969",UCLA,https://www.basketball-reference.com/players/o/owenske01.html
Larry Owens,2011,2012,F,6-7,210,"January 8, 1983",Oral Roberts,https://www.basketball-reference.com/players/o/owensla01.html
Red Owens,1950,1952,G-F,6-3,185,"September 2, 1925",Baylor,https://www.basketball-reference.com/players/o/owensre01.html
Tariq Owens,2020,2020,F,6-10,205,"June 30, 1995","Tennessee, St. John's, Texas Tech",https://www.basketball-reference.com/players/o/owensta01.html
Tom Owens,1972,1983,C-F,6-10,215,"June 28, 1949",South Carolina,https://www.basketball-reference.com/players/o/owensto01.html
Ray Owes,1997,1997,F,6-9,224,"December 11, 1972",Arizona,https://www.basketball-reference.com/players/o/owesra01.html
Olumide Oyedeji,2001,2003,C,6-10,240,"May 11, 1981",,https://www.basketball-reference.com/players/o/oyedeol01.html
