Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",,https://www.basketball-reference.com/players/e/erdense01.html
Bo Erias,1958,1958,F,6-3,220,"July 30, 1932",Niagara University,https://www.basketball-reference.com/players/e/eriasbo01.html
Keith Erickson,1966,1977,F-G,6-5,195,"April 19, 1944",UCLA,https://www.basketball-reference.com/players/e/erickke01.html
Julius Erving*,1972,1987,F-G,6-7,210,"February 22, 1950",UMass,https://www.basketball-reference.com/players/e/ervinju01.html
Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern,https://www.basketball-reference.com/players/e/eschmev01.html
Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",Kansas,https://www.basketball-reference.com/players/e/eskrija01.html
Vincenzo Esposito,1996,1996,G,6-3,198,"March 1, 1969",,https://www.basketball-reference.com/players/e/esposvi01.html
Drew Eubanks,2019,2023,F,6-9,245,"February 1, 1997",Oregon State,https://www.basketball-reference.com/players/e/eubandr01.html
Billy Evans,1970,1970,G,6-0,170,"March 3, 1947",Boston College,https://www.basketball-reference.com/players/e/evansbi01.html
Bob Evans,1950,1950,G,6-2,175,"May 31, 1925",Butler,https://www.basketball-reference.com/players/e/evansbo01.html
Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana,https://www.basketball-reference.com/players/e/evansbr01.html
Earl Evans,1980,1980,F,6-8,202,"November 11, 1955","USC, UNLV",https://www.basketball-reference.com/players/e/evansea01.html
Jacob Evans,2019,2020,G-F,6-4,210,"June 18, 1997",Cincinnati,https://www.basketball-reference.com/players/e/evansja02.html
Jawun Evans,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State,https://www.basketball-reference.com/players/e/evansja01.html
Jeremy Evans,2011,2018,F,6-9,200,"October 24, 1987",Western Kentucky,https://www.basketball-reference.com/players/e/evansje01.html
Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas",https://www.basketball-reference.com/players/e/evansma01.html
Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State,https://www.basketball-reference.com/players/e/evansmi01.html
Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",Iowa,https://www.basketball-reference.com/players/e/evansre01.html
Tyreke Evans,2010,2019,G-F,6-6,220,"September 19, 1989",Memphis,https://www.basketball-reference.com/players/e/evansty01.html
Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke,https://www.basketball-reference.com/players/e/ewingda01.html
Patrick Ewing*,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown,https://www.basketball-reference.com/players/e/ewingpa01.html
Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown",https://www.basketball-reference.com/players/e/ewingpa02.html
Dante Exum,2015,2021,G,6-5,214,"July 13, 1995",,https://www.basketball-reference.com/players/e/exumda01.html
Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",,https://www.basketball-reference.com/players/e/eyengch01.html
Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt,https://www.basketball-reference.com/players/e/ezelife01.html
Johnny Ezersky,1948,1950,F-G,6-3,175,"March 21, 1922",Rhode Island,https://www.basketball-reference.com/players/e/ezersjo01.html
