Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",Miami (FL),https://www.basketball-reference.com/players/a/allenwi01.html
Odis Allison,1972,1972,F,6-6,195,"October 2, 1949",UNLV,https://www.basketball-reference.com/players/a/allisod01.html
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State",https://www.basketball-reference.com/players/a/allrela01.html
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958",UCLA,https://www.basketball-reference.com/players/a/allumda01.html
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,https://www.basketball-reference.com/players/a/almonmo01.html
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne,https://www.basketball-reference.com/players/a/alstode01.html
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976",Fresno State,https://www.basketball-reference.com/players/a/alstora01.html
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty,https://www.basketball-reference.com/players/a/alumape01.html
Jose Alvarado,2022,2023,G,6-0,179,"April 12, 1998",Georgia Tech,https://www.basketball-reference.com/players/a/alvarjo01.html
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State",https://www.basketball-reference.com/players/a/amaecjo01.html
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois,https://www.basketball-reference.com/players/a/amayaas01.html
Al-Farouq Aminu,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest,https://www.basketball-reference.com/players/a/aminual01.html
Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV,https://www.basketball-reference.com/players/a/amundlo01.html
Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State,https://www.basketball-reference.com/players/a/anderbo01.html
Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College,https://www.basketball-reference.com/players/a/anderch01.html
David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,https://www.basketball-reference.com/players/a/anderda03.html
Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State,https://www.basketball-reference.com/players/a/anderal01.html
Andy Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius,https://www.basketball-reference.com/players/a/anderan01.html
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",Memphis,https://www.basketball-reference.com/players/a/anderan02.html
Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's,https://www.basketball-reference.com/players/a/andercl01.html
Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,https://www.basketball-reference.com/players/a/anderda01.html
Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",USC,https://www.basketball-reference.com/players/a/anderda02.html
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky",https://www.basketball-reference.com/players/a/anderde01.html
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC",https://www.basketball-reference.com/players/a/anderdw01.html
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana,https://www.basketball-reference.com/players/a/anderer01.html
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",Houston,https://www.basketball-reference.com/players/a/andergr01.html
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley,https://www.basketball-reference.com/players/a/anderjj01.html
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State,https://www.basketball-reference.com/players/a/anderja01.html
Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia,https://www.basketball-reference.com/players/a/anderje01.html
Justin Anderson,2016,2022,G,6-6,230,"November 19, 1993",Virginia,https://www.basketball-reference.com/players/a/anderju01.html
Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Tech,https://www.basketball-reference.com/players/a/anderke01.html
Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",Missouri,https://www.basketball-reference.com/players/a/anderki01.html
Kyle Anderson,2015,2023,F-G,6-9,230,"September 20, 1993",UCLA,https://www.basketball-reference.com/players/a/anderky01.html
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel,https://www.basketball-reference.com/players/a/andermi01.html
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois,https://www.basketball-reference.com/players/a/anderni01.html
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara,https://www.basketball-reference.com/players/a/anderri01.html
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State,https://www.basketball-reference.com/players/a/anderro01.html
Ryan Anderson,2009,2020,F,6-9,240,"May 6, 1988",California,https://www.basketball-reference.com/players/a/anderry01.html
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia,https://www.basketball-reference.com/players/a/andersh01.html
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia,https://www.basketball-reference.com/players/a/anderwi01.html
Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton,https://www.basketball-reference.com/players/a/anderwa01.html
Martynas Andriuškevičius,2006,2006,C,7-2,240,"March 12, 1986",,https://www.basketball-reference.com/players/a/andrima01.html
Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State,https://www.basketball-reference.com/players/a/anieldo01.html
Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA,https://www.basketball-reference.com/players/a/anigbik01.html
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",Alabama,https://www.basketball-reference.com/players/a/anslemi01.html
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,https://www.basketball-reference.com/players/a/anstech01.html
Giannis Antetokounmpo,2014,2023,F-G,7-0,242,"December 6, 1994",,https://www.basketball-reference.com/players/a/antetgi01.html
Kostas Antetokounmpo,2019,2021,F,6-10,200,"November 20, 1997",Dayton,https://www.basketball-reference.com/players/a/antetko01.html
Thanasis Antetokounmpo,2016,2023,F,6-6,219,"July 18, 1992",,https://www.basketball-reference.com/players/a/antetth01.html
Carmelo Anthony,2004,2022,F,6-7,238,"May 29, 1984",Syracuse,https://www.basketball-reference.com/players/a/anthoca01.html
Cole Anthony,2021,2023,G,6-2,185,"May 15, 2000",UNC,https://www.basketball-reference.com/players/a/anthoco01.html
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV",https://www.basketball-reference.com/players/a/anthogr01.html
Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982",UNLV,https://www.basketball-reference.com/players/a/anthojo01.html
Pero Antić,2014,2015,C-F,6-11,260,"July 29, 1982",,https://www.basketball-reference.com/players/a/anticpe01.html
OG Anunoby,2018,2023,F,6-7,232,"July 17, 1997",Indiana,https://www.basketball-reference.com/players/a/anunoog01.html
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State,https://www.basketball-reference.com/players/a/applike01.html
Rafael Araújo,2005,2007,C,6-11,280,"August 12, 1980",BYU,https://www.basketball-reference.com/players/a/araujra01.html
Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State,https://www.basketball-reference.com/players/a/arcenst01.html
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",Illinois,https://www.basketball-reference.com/players/a/archiro01.html
Tiny Archibald*,1971,1984,G,6-1,150,"September 2, 1948",Texas-El Paso,https://www.basketball-reference.com/players/a/architi01.html
Ryan Arcidiacono,2018,2023,G,6-3,195,"March 26, 1994",Villanova,https://www.basketball-reference.com/players/a/arcidry01.html
Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",Cincinnati,https://www.basketball-reference.com/players/a/ardji01.html
Gilbert Arenas,2002,2012,G,6-4,191,"January 6, 1982",Arizona,https://www.basketball-reference.com/players/a/arenagi01.html
Trevor Ariza,2005,2022,F,6-8,215,"June 30, 1985",UCLA,https://www.basketball-reference.com/players/a/arizatr01.html
Paul Arizin*,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova,https://www.basketball-reference.com/players/a/arizipa01.html
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,https://www.basketball-reference.com/players/a/arlaujo01.html
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",Iowa,https://www.basketball-reference.com/players/a/armstbj01.html
Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State,https://www.basketball-reference.com/players/a/armstbo01.html
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine,https://www.basketball-reference.com/players/a/armstbr01.html
Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana,https://www.basketball-reference.com/players/a/armstcu01.html
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,https://www.basketball-reference.com/players/a/armstda01.html
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",UConn,https://www.basketball-reference.com/players/a/armsthi01.html
Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke,https://www.basketball-reference.com/players/a/armstta01.html
Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Penn State,https://www.basketball-reference.com/players/a/arnelje01.html
Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",Texas,https://www.basketball-reference.com/players/a/arnetja01.html
Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",Notre Dame,https://www.basketball-reference.com/players/a/arnzebo01.html
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,https://www.basketball-reference.com/players/a/arroyca01.html
Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",Kansas,https://www.basketball-reference.com/players/a/arthuda01.html
John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane,https://www.basketball-reference.com/players/a/arthujo01.html
Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt,https://www.basketball-reference.com/players/a/artisja01.html
Ömer Aşık,2011,2018,C,7-0,255,"July 4, 1986",,https://www.basketball-reference.com/players/a/asikom01.html
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis,https://www.basketball-reference.com/players/a/askewvi01.html
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama,https://www.basketball-reference.com/players/a/askinke01.html
Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,https://www.basketball-reference.com/players/a/asmondo01.html
Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,https://www.basketball-reference.com/players/a/athadi01.html
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",South Florida,https://www.basketball-reference.com/players/a/atkinch01.html
Al Attles*,1961,1971,G,6-0,175,"November 7, 1936",North Carolina A&T,https://www.basketball-reference.com/players/a/attleal01.html
Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State,https://www.basketball-reference.com/players/a/aubucch01.html
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV,https://www.basketball-reference.com/players/a/augmost01.html
D.J. Augustin,2009,2022,G,5-11,183,"November 10, 1987",Texas,https://www.basketball-reference.com/players/a/augusdj01.html
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",Illinois,https://www.basketball-reference.com/players/a/augusja01.html
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State,https://www.basketball-reference.com/players/a/austiis01.html
Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,https://www.basketball-reference.com/players/a/austijo01.html
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,https://www.basketball-reference.com/players/a/austike01.html
Deni Avdija,2021,2023,G-F,6-9,210,"January 3, 2001",,https://www.basketball-reference.com/players/a/avdijde01.html
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall,https://www.basketball-reference.com/players/a/aventan01.html
Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine,https://www.basketball-reference.com/players/a/averibi01.html
William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke,https://www.basketball-reference.com/players/a/averywi01.html
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara,https://www.basketball-reference.com/players/a/awtrede01.html
Joel Ayayi,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga,https://www.basketball-reference.com/players/a/ayayijo01.html
Gustavo Ayón,2012,2014,C,6-10,250,"April 1, 1985",,https://www.basketball-reference.com/players/a/ayongu01.html
Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State,https://www.basketball-reference.com/players/p/pendeje02.html
Deandre Ayton,2019,2023,C,6-11,250,"July 23, 1998",Arizona,https://www.basketball-reference.com/players/a/aytonde01.html
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",Kentucky,https://www.basketball-reference.com/players/a/azubuke01.html
Udoka Azubuike,2021,2023,C,6-10,280,"September 17, 1999",Kansas,https://www.basketball-reference.com/players/a/azubuud01.html
